Post;Score 
1934 ; 11
1935 ; 106
1936 ; 2519
1937 ; 121
1938 ; 573
1939 ; 131
1940 ; 101
1942 ; 41
1943 ; 111
1944 ; 344
1945 ; 508
1948 ; 145
1949 ; 103
1950 ; 764
1951 ; 240
1952 ; 21
1953 ; 441
1954 ; 161
1955 ; 36
1956 ; 526
1957 ; 100
1958 ; 195
1960 ; 101
1961 ; 328
1962 ; 415
1963 ; 913
1964 ; 302
1966 ; 231
1967 ; 121
1968 ; 308
1969 ; 123
1971 ; 178
1972 ; 250
1973 ; 520
1974 ; 61
1975 ; 116
1976 ; 126
1978 ; 189
1980 ; 1189
1981 ; 68
1982 ; 378
1985 ; 185
1986 ; 145
1988 ; 25
1989 ; 130
1990 ; 223
1991 ; 106
1992 ; 6091
1993 ; 4658
1994 ; 360
1995 ; 1300
1996 ; 1656
1997 ; 706
1998 ; 543
1999 ; 498
2000 ; 194
2001 ; 163
2003 ; 101
2004 ; 380
2005 ; 101
2006 ; 101
2007 ; 101
2008 ; 62
2009 ; 101
2011 ; 220
2012 ; 631
2013 ; 110
2015 ; 31
2016 ; 1060
2017 ; 113
2018 ; 363
2020 ; 101
2021 ; 186
2022 ; 103
2024 ; 1144
2026 ; 116
2027 ; 728
2028 ; 179
2029 ; 171
2030 ; 421
2031 ; 151
2032 ; 76
2033 ; 424
2034 ; 330
2035 ; 111
2036 ; 491
2037 ; 256
2038 ; 101
2039 ; 674
2040 ; 661
2041 ; 70
2042 ; 515
2043 ; 773
2044 ; 101
2045 ; 2729
2046 ; 233
2047 ; 176
2048 ; 121
2049 ; 282
2050 ; 211
2051 ; 179
2052 ; 436
2053 ; 138
2054 ; 103
2055 ; 101
2056 ; 203
2057 ; 108
2059 ; 21
2060 ; 246
2061 ; 328
2064 ; 313
2066 ; 111
2067 ; 101
2068 ; 364
2070 ; 278
2071 ; 128
2072 ; 233
2073 ; 101
2074 ; 121
2076 ; 404
2077 ; 221
2078 ; 236
2079 ; 153
2080 ; 111
2081 ; 103
2082 ; 111
2083 ; 120
2084 ; 943
2085 ; 140
2086 ; 471
2090 ; 141
2091 ; 101
2092 ; 108
2093 ; 197
2094 ; 131
2095 ; 127
2098 ; 350
2099 ; 849
2100 ; 1271
2101 ; 26094
2103 ; 347
2104 ; 11
2105 ; 228
2108 ; 261
2109 ; 153
2110 ; 235
2111 ; 517
2112 ; 139
2113 ; 103
2114 ; 228
2115 ; 3185
2116 ; 789
2117 ; 397
2118 ; 166
2120 ; 1110
2121 ; 101
2122 ; 158
2123 ; 726
2124 ; 124
2125 ; 118
2126 ; 112
2127 ; 118
2129 ; 101
